user_id,age,country,course_type,course_category,course_price,time_spent_hours,assignments_completed,quiz_avg_score,login_frequency_per_week,device_type,last_login_days_ago,forum_posts,video_completion_percent,certificate_attempted,payment_type,course_completed
71,20,USA,Classroom Training Live Session,Risk,642,40,4,35,6,Desktop,1,19,91,0,Corporate,0
72,55,USA,Classroom Training Physical,Risk,673,79,10,7,1,Tablet,44,43,4,1,Corporate,0
73,37,Canada,Self-paced,Finance,631,113,11,46,0,Desktop,13,37,36,1,Individual,0
74,20,Canada,Instructor-led Online,Finance,1001,178,7,9,4,Tablet,9,43,1,0,Corporate,0
75,54,India,Instructor-led Online,Finance,884,9,10,14,5,Tablet,34,29,94,0,Individual,0
76,31,Canada,Classroom Training Live Session,Finance,475,137,1,75,2,Tablet,0,39,63,1,Corporate,1
77,58,Australia,Self-paced,Finance,369,60,13,34,4,Mobile,4,18,77,1,Corporate,1
78,59,Canada,Instructor-led Online,Finance,501,40,7,38,5,Tablet,37,32,22,0,Individual,0
79,34,USA,Instructor-led Online,Finance,1106,53,7,50,6,Tablet,5,5,66,0,Individual,0
80,46,India,Self-paced,Finance,577,155,3,28,5,Mobile,32,36,26,0,Individual,1
81,19,Canada,Classroom Training Live Session,Accounting,616,123,9,96,5,Desktop,12,30,46,1,Individual,1
82,46,Canada,Self-paced,Investment,146,68,11,44,1,Tablet,30,35,35,1,Individual,1
83,37,UK,Instructor-led Online,Risk,971,38,5,71,6,Tablet,25,45,11,1,Individual,0
84,50,India,Instructor-led Online,Risk,927,171,11,99,3,Mobile,55,36,71,0,Corporate,1
85,48,USA,Self-paced,Accounting,1113,51,12,77,0,Desktop,10,22,0,1,Individual,0
86,53,Australia,Classroom Training Live Session,Accounting,1082,57,0,62,5,Tablet,50,39,14,0,Individual,0
87,26,USA,Instructor-led Online,Accounting,412,117,9,40,2,Tablet,51,24,89,0,Corporate,1
88,35,India,Self-paced,Risk,517,91,0,42,2,Tablet,50,23,24,0,Corporate,0
89,46,Australia,Instructor-led Online,Risk,1102,150,9,27,1,Mobile,48,6,80,1,Individual,1
90,39,USA,Self-paced,Investment,1186,104,0,70,0,Mobile,29,22,50,0,Corporate,0
91,49,UK,Classroom Training Live Session,Accounting,384,49,12,92,5,Tablet,17,0,77,0,Individual,1
92,45,India,Classroom Training Live Session,Finance,213,166,2,62,3,Mobile,7,28,54,0,Individual,1
93,36,India,Classroom Training Live Session,Accounting,261,124,0,86,6,Desktop,6,28,7,0,Individual,1
94,25,UK,Self-paced,Accounting,860,67,2,96,3,Tablet,7,33,34,1,Corporate,0
95,38,UK,Instructor-led Online,Accounting,834,55,1,6,1,Tablet,32,22,84,0,Corporate,0
96,53,,,,799,82,1,0,6,,19,10,1,0,,0
97,54,Canada,Instructor-led Online,Accounting,1004,53,11,98,3,Desktop,21,43,23,0,Corporate,1
98,40,UK,Classroom Training Live Session,Investment,835,114,2,80,5,Mobile,39,1,24,0,Individual,1
99,21,UK,Classroom Training Live Session,Accounting,541,29,12,97,6,Mobile,10,5,17,1,Individual,0
100,55,India,Instructor-led Online,Accounting,1140,165,8,75,6,Mobile,41,21,84,0,Individual,1
101,29,UK,Classroom Training Live Session,Finance,920,138,12,16,1,Mobile,27,45,63,1,Corporate,1
102,53,,,,893,29,4,10,2,,58,38,98,1,,0
103,53,Australia,Instructor-led Online,Risk,1057,109,10,97,0,Desktop,1,8,72,1,Individual,1
104,57,USA,Instructor-led Online,Accounting,124,39,2,2,1,Mobile,43,43,50,1,Corporate,0
105,54,India,Self-paced,Investment,916,17,9,56,6,Mobile,46,11,61,1,Corporate,0
106,38,UK,Self-paced,Finance,473,25,1,88,3,Tablet,58,25,25,0,Corporate,0
107,34,India,Self-paced,Risk,1080,86,9,6,5,Tablet,52,6,8,0,Corporate,0
108,40,India,Self-paced,Finance,693,116,6,98,1,Tablet,41,38,16,1,Individual,1
109,51,UK,Instructor-led Online,Risk,904,171,7,89,6,Tablet,43,38,14,1,Individual,1
110,39,Canada,Instructor-led Online,Finance,821,161,12,41,3,Desktop,1,34,41,1,Corporate,1
111,30,UK,Self-paced,Finance,1162,46,3,28,5,Mobile,28,43,56,1,Corporate,0
112,27,Canada,Self-paced,Accounting,1020,103,3,4,0,Desktop,48,2,44,1,Corporate,0
113,54,India,Classroom Training Live Session,Finance,531,73,14,48,0,Tablet,57,36,60,0,Individual,1
114,56,Canada,Classroom Training Live Session,Investment,110,62,12,97,0,Tablet,51,3,58,1,Corporate,1
115,27,Australia,Self-paced,Risk,325,57,9,40,0,Desktop,2,5,4,0,Corporate,0
116,52,USA,Instructor-led Online,Investment,518,178,1,61,0,Tablet,31,34,12,1,Individual,1
117,21,USA,Instructor-led Online,Accounting,1051,67,10,91,4,Mobile,2,24,97,1,Corporate,1
118,57,USA,Classroom Training Live Session,Finance,1054,124,14,37,2,Mobile,47,25,17,1,Individual,1
119,45,Canada,Instructor-led Online,Finance,1072,81,1,39,4,Desktop,28,2,55,1,Corporate,0
120,50,UK,Instructor-led Online,Accounting,315,147,7,91,0,Tablet,58,47,40,0,Individual,0
121,59,Australia,Instructor-led Online,Investment,290,155,5,59,6,Mobile,42,44,57,0,Individual,1
122,49,India,Classroom Training Live Session,Risk,181,100,1,77,4,Mobile,11,38,65,1,Individual,1
123,58,UK,Instructor-led Online,Finance,459,98,11,63,4,Tablet,47,5,82,1,Individual,0
124,49,India,Instructor-led Online,Accounting,671,79,13,36,4,Desktop,3,19,95,1,Corporate,1
125,34,Canada,Self-paced,Investment,1017,145,9,64,5,Desktop,55,17,49,1,Corporate,1
126,52,Australia,Self-paced,Investment,480,7,12,10,0,Desktop,46,14,31,0,Individual,0
127,43,India,Self-paced,Accounting,837,29,3,80,2,Mobile,40,38,14,0,Individual,0
128,49,Australia,Self-paced,Accounting,1073,84,5,74,2,Tablet,16,43,55,1,Individual,0
129,33,Australia,Self-paced,Finance,183,6,2,56,4,Tablet,58,0,57,1,Corporate,0
130,52,India,Instructor-led Online,Investment,1108,25,7,11,1,Tablet,43,15,26,1,Corporate,0
131,46,USA,Instructor-led Online,Finance,619,79,10,45,1,Tablet,2,28,63,1,Individual,0
132,20,Canada,Classroom Training Live Session,Investment,626,153,13,77,6,Mobile,43,19,99,0,Corporate,1
133,39,,,,600,117,1,87,2,,16,7,20,1,,1
134,48,India,Classroom Training Live Session,Accounting,110,45,8,32,3,Desktop,40,7,10,1,Individual,0
135,29,USA,Instructor-led Online,Finance,1169,160,14,79,5,Desktop,27,19,32,1,Corporate,1
136,19,India,Instructor-led Online,Finance,900,158,0,76,3,Desktop,21,38,65,1,Individual,0
137,32,India,Classroom Training Live Session,Accounting,205,119,11,48,2,Mobile,2,5,8,1,Individual,0
138,29,USA,Classroom Training Physical,Investment,210,127,6,74,3,Desktop,57,21,25,0,Individual,1
139,59,USA,Self-paced,Accounting,1070,12,6,11,4,Mobile,44,18,54,1,Corporate,0
140,49,Australia,Instructor-led Online,Risk,1013,150,4,95,0,Tablet,2,27,73,0,Individual,1
141,32,Australia,Instructor-led Online,Finance,1002,76,0,93,4,Tablet,57,23,19,0,Corporate,0
142,37,Canada,Classroom Training Live Session,Investment,251,50,0,50,0,Desktop,52,33,99,1,Individual,0
143,56,India,Classroom Training Live Session,Accounting,854,115,9,11,2,Mobile,17,39,20,0,Individual,0
144,25,UK,Classroom Training Live Session,Investment,851,87,9,43,5,Desktop,1,36,68,1,Individual,1
145,31,USA,Classroom Training Physical,Investment,330,84,1,69,0,Tablet,24,27,65,0,Individual,0
146,18,Australia,Self-paced,Investment,559,164,12,22,6,Tablet,10,9,66,1,Corporate,1
147,27,India,Instructor-led Online,Investment,961,105,0,4,3,Tablet,11,0,56,1,Corporate,0
148,54,Canada,Instructor-led Online,Risk,264,49,0,43,3,Tablet,14,5,60,1,Corporate,0
149,54,India,Instructor-led Online,Investment,381,29,0,34,5,Mobile,52,4,32,0,Individual,0
150,37,Canada,Classroom Training Live Session,Finance,341,43,13,97,0,Desktop,28,38,94,1,Individual,0
151,40,UK,Classroom Training Live Session,Investment,250,128,13,44,3,Desktop,41,7,84,0,Individual,1
152,22,Australia,Classroom Training Live Session,Risk,185,175,1,64,6,Tablet,25,42,73,1,Corporate,1
153,43,India,Instructor-led Online,Investment,402,113,11,90,0,Desktop,3,32,0,0,Individual,1
154,58,Australia,Instructor-led Online,Accounting,1109,63,8,32,0,Mobile,47,12,72,0,Individual,0
155,21,USA,Classroom Training Live Session,Accounting,593,132,5,18,5,Desktop,17,12,22,0,Individual,1
156,41,UK,Instructor-led Online,Accounting,921,89,4,14,0,Desktop,6,14,20,0,Corporate,0
157,50,Australia,Instructor-led Online,Finance,835,35,11,89,2,Tablet,7,45,77,1,Corporate,1
158,38,,,,427,48,1,69,3,,28,25,24,1,,0
159,32,India,Instructor-led Online,Investment,882,43,6,69,5,Desktop,43,42,20,0,Individual,0
160,42,Australia,Self-paced,Investment,5000,500,14,67,4,Mobile,21,300,33,1,Individual,0
161,44,Canada,Instructor-led Online,Finance,850,156,2,7,1,Desktop,17,1,48,0,Corporate,1
162,47,India,Instructor-led Online,Risk,1162,141,14,70,6,Mobile,41,41,55,1,Corporate,1
163,24,Canada,Classroom Training Live Session,Accounting,658,123,12,21,5,Mobile,21,27,8,1,Individual,1
164,59,India,Classroom Training Live Session,Investment,251,49,9,90,4,Desktop,23,18,99,1,Individual,0
165,35,India,Instructor-led Online,Risk,1092,69,14,48,2,Desktop,32,20,80,1,Corporate,0
166,52,Australia,Self-paced,Investment,749,78,12,56,5,Mobile,1,34,6,0,Corporate,1
167,56,UK,Classroom Training Live Session,Finance,558,24,11,45,2,Desktop,37,41,31,0,Individual,0
168,50,Canada,Instructor-led Online,Investment,172,136,0,69,0,Tablet,3,12,48,1,Corporate,0
169,44,Canada,Instructor-led Online,Investment,248,8,5,71,1,Tablet,53,43,57,0,Corporate,0
170,19,India,Self-paced,Accounting,453,30,3,7,5,Desktop,35,4,76,0,Individual,0
171,33,USA,Classroom Training Live Session,Accounting,545,158,8,54,3,Mobile,15,11,7,1,Individual,1
172,45,Australia,Self-paced,Risk,729,5,3,64,0,Desktop,20,19,69,1,Corporate,0
173,33,USA,Instructor-led Online,Investment,837,142,3,96,6,Desktop,44,1,84,1,Individual,1
174,18,USA,Instructor-led Online,Risk,934,151,9,67,1,Tablet,5,34,21,0,Individual,1
175,59,Canada,Instructor-led Online,Investment,660,42,5,81,4,Tablet,29,23,29,1,Corporate,0
176,31,UK,Self-paced,Finance,498,149,2,65,2,Desktop,34,17,77,1,Corporate,0
177,19,India,Instructor-led Online,Finance,352,54,0,35,6,Desktop,0,45,79,1,Corporate,0
178,52,Australia,Self-paced,Finance,1001,25,12,97,4,Desktop,3,24,78,1,Individual,0
179,48,Canada,Instructor-led Online,Accounting,1088,60,14,5,4,Tablet,1,22,82,0,Individual,0
180,51,Australia,Self-paced,Accounting,444,130,13,10,1,Mobile,30,14,72,0,Individual,1
181,38,USA,Classroom Training Live Session,Finance,289,115,6,79,3,Mobile,3,3,39,0,Individual,0
182,53,Canada,Instructor-led Online,Investment,521,178,14,62,5,Mobile,34,6,26,1,Corporate,1
183,39,Australia,Instructor-led Online,Finance,609,130,13,90,4,Desktop,37,14,20,1,Individual,1
184,22,India,Self-paced,Finance,1136,82,4,44,3,Mobile,34,48,59,0,Individual,0
185,43,Australia,Self-paced,Accounting,645,52,11,81,2,Mobile,28,28,37,1,Individual,1
186,58,India,Instructor-led Online,Investment,116,120,8,40,0,Desktop,59,47,28,0,Corporate,1
187,57,India,Classroom Training Live Session,Finance,814,34,7,58,5,Mobile,14,16,59,0,Corporate,0
188,22,Australia,Self-paced,Investment,1039,87,4,7,4,Mobile,22,42,0,0,Individual,0
189,22,UK,Instructor-led Online,Investment,376,58,14,99,2,Tablet,18,6,27,0,Individual,1
190,22,India,Instructor-led Online,Accounting,619,64,9,37,6,Mobile,30,7,24,0,Corporate,0
191,53,India,Self-paced,Accounting,935,78,8,40,0,Desktop,54,49,9,0,Corporate,0
192,57,Canada,Self-paced,Accounting,473,13,4,31,6,Desktop,10,9,14,0,Corporate,0
193,26,India,Self-paced,Finance,587,59,13,88,1,Desktop,51,29,83,0,Corporate,0
194,38,UK,Classroom Training Live Session,Risk,221,32,13,38,0,Mobile,46,17,20,0,Corporate,0
195,25,Australia,Classroom Training Live Session,Accounting,337,135,6,95,2,Desktop,21,42,88,1,Corporate,1
196,35,Australia,Instructor-led Online,Accounting,640,27,1,94,6,Tablet,22,23,43,0,Corporate,0
197,50,UK,Instructor-led Online,Investment,614,118,2,22,4,Desktop,38,43,24,1,Individual,0
198,33,India,Classroom Training Live Session,Investment,228,108,4,2,0,Tablet,31,41,97,0,Individual,0
199,56,India,Instructor-led Online,Risk,1022,66,8,12,0,Desktop,41,25,57,1,Corporate,0
200,31,USA,Classroom Training Physical,Finance,1143,75,2,94,6,Desktop,55,18,57,1,Individual,1
201,41,Australia,Classroom Training Live Session,Accounting,326,154,4,84,5,Tablet,20,9,37,1,Corporate,1
202,37,Canada,Instructor-led Online,Finance,682,4,12,13,2,Mobile,15,3,23,1,Corporate,0
203,48,India,Self-paced,Investment,159,147,0,62,5,Tablet,21,23,75,1,Corporate,1
204,53,Australia,Self-paced,Investment,118,176,12,99,5,Tablet,48,32,17,0,Corporate,1
205,45,USA,Classroom Training Live Session,Risk,1070,57,11,44,0,Mobile,5,3,19,1,Individual,0
206,23,UK,Self-paced,Risk,177,124,10,8,1,Mobile,56,9,49,0,Individual,0
207,47,UK,Instructor-led Online,Accounting,809,81,10,50,4,Tablet,41,34,45,1,Individual,0
208,54,Australia,Instructor-led Online,Investment,148,149,9,63,4,Desktop,25,3,38,1,Individual,1
209,53,USA,Self-paced,Accounting,908,174,11,59,0,Tablet,19,23,88,1,Individual,1
210,47,Canada,Classroom Training Live Session,Accounting,1002,163,6,91,5,Desktop,15,15,53,0,Corporate,1
211,23,USA,Instructor-led Online,Investment,940,45,3,55,2,Desktop,57,42,56,0,Corporate,0
212,44,India,Instructor-led Online,Risk,1193,127,14,81,2,Tablet,47,6,20,1,Corporate,1
213,54,Canada,Classroom Training Live Session,Accounting,120,82,4,2,6,Desktop,36,23,48,0,Individual,0
214,29,USA,Instructor-led Online,Finance,544,169,0,49,4,Tablet,41,6,85,0,Individual,1
215,51,USA,Self-paced,Investment,1053,43,8,38,5,Mobile,16,33,69,1,Corporate,0
216,27,India,Instructor-led Online,Finance,121,112,8,65,1,Desktop,15,47,50,0,Individual,0
217,57,Canada,Self-paced,Accounting,670,138,2,63,2,Tablet,48,31,6,0,Corporate,0
218,21,India,Self-paced,Accounting,983,143,7,84,6,Desktop,51,27,13,0,Individual,1
219,45,USA,Self-paced,Accounting,980,66,8,2,3,Mobile,41,34,5,0,Corporate,0
220,36,USA,Classroom Training Live Session,Finance,406,11,7,11,1,Mobile,35,36,84,1,Individual,0
221,32,USA,Classroom Training Live Session,Investment,337,104,1,41,3,Desktop,11,1,6,1,Individual,0
222,44,Australia,Self-paced,Accounting,139,161,11,0,6,Mobile,31,47,3,1,Corporate,1
223,29,,,,913,119,0,62,4,,52,20,29,0,,0
224,48,Canada,Classroom Training Live Session,Risk,346,128,10,68,0,Tablet,32,3,24,1,Corporate,1
225,22,India,Classroom Training Live Session,Risk,800,9,3,49,5,Tablet,59,43,10,1,Individual,0
226,38,Canada,Instructor-led Online,Investment,1081,131,11,91,5,Desktop,47,20,27,1,Corporate,1
227,52,USA,Instructor-led Online,Investment,645,41,2,46,1,Desktop,10,22,47,1,Corporate,0
228,28,USA,Instructor-led Online,Accounting,1030,33,3,15,1,Desktop,34,39,27,0,Individual,0
229,18,USA,Self-paced,Investment,954,128,14,66,3,Desktop,24,46,37,0,Individual,1
230,31,Australia,Self-paced,Investment,559,145,6,8,2,Mobile,14,17,96,1,Individual,1
231,44,UK,Self-paced,Accounting,987,46,5,13,3,Mobile,7,34,18,1,Individual,0
232,42,UK,Instructor-led Online,Investment,955,14,9,86,5,Mobile,18,45,50,0,Corporate,0
233,45,UK,Instructor-led Online,Investment,272,71,13,62,0,Tablet,59,18,46,1,Corporate,0
234,53,Australia,Instructor-led Online,Investment,564,30,8,63,0,Mobile,13,10,52,0,Individual,0
235,47,UK,Classroom Training Live Session,Finance,167,8,1,85,0,Tablet,54,15,92,1,Individual,0
236,28,Canada,Self-paced,Investment,593,50,4,20,4,Mobile,2,43,32,0,Individual,0
237,26,USA,Instructor-led Online,Investment,1158,65,7,44,6,Tablet,39,11,53,1,Corporate,1
238,43,USA,Classroom Training Live Session,Investment,704,150,7,20,2,Desktop,19,28,50,1,Individual,0
239,29,Canada,Classroom Training Live Session,Finance,678,86,11,65,1,Tablet,54,40,0,1,Individual,1
240,34,,,,879,6,9,26,2,,0,28,98,1,,0
241,37,UK,Instructor-led Online,Investment,752,49,13,61,2,Mobile,25,38,84,0,Individual,1
242,58,India,Self-paced,Finance,5000,500,0,87,4,Tablet,58,300,54,0,Individual,0
243,36,Australia,Self-paced,Risk,226,46,12,0,3,Tablet,11,7,71,0,Individual,0
244,50,Australia,Instructor-led Online,Finance,701,103,11,68,0,Tablet,45,22,29,0,Individual,0
245,37,USA,Classroom Training Live Session,Accounting,1089,161,14,35,1,Mobile,18,46,27,1,Corporate,1
246,29,USA,Instructor-led Online,Accounting,754,41,6,1,6,Mobile,40,9,65,0,Individual,0
247,31,Australia,Classroom Training Live Session,Accounting,662,118,8,38,3,Tablet,19,5,26,0,Corporate,0
248,20,Australia,Classroom Training Live Session,Investment,395,2,0,40,5,Tablet,42,0,54,0,Individual,0
249,38,India,Instructor-led Online,Accounting,148,127,14,24,6,Mobile,37,27,20,1,Individual,1
250,26,India,Self-paced,Finance,1153,108,1,31,2,Tablet,27,43,78,0,Individual,0
251,53,UK,Classroom Training Live Session,Investment,778,34,7,27,4,Tablet,3,36,55,0,Individual,0
252,46,,,,1013,163,10,94,2,,10,48,37,1,,1
253,18,India,Classroom Training Live Session,Risk,936,158,7,87,2,Tablet,10,44,3,1,Individual,1
254,59,UK,Self-paced,Risk,361,59,12,14,4,Desktop,41,36,36,1,Corporate,0
255,40,Australia,Self-paced,Accounting,885,113,12,76,2,Tablet,51,16,95,1,Corporate,1
256,54,Canada,Instructor-led Online,Finance,404,141,1,85,4,Tablet,22,2,41,1,Corporate,1
257,38,Australia,Self-paced,Accounting,482,21,11,10,6,Tablet,0,27,62,1,Individual,0
258,51,UK,Instructor-led Online,Risk,1095,179,12,16,2,Desktop,39,21,23,1,Individual,1
259,38,Australia,Self-paced,Investment,616,145,4,35,5,Tablet,26,33,10,1,Individual,0
260,38,Canada,Classroom Training Live Session,Accounting,494,5,0,55,3,Mobile,45,11,69,0,Individual,0
261,49,UK,Classroom Training Live Session,Accounting,1122,102,10,32,5,Tablet,14,26,74,1,Individual,0
262,34,UK,Classroom Training Live Session,Risk,1073,82,11,50,6,Tablet,46,3,6,0,Individual,1
263,34,USA,Self-paced,Finance,980,96,7,18,6,Desktop,2,4,12,0,Corporate,0
264,33,,,,579,22,12,85,2,,53,9,41,1,,1
265,58,Australia,Classroom Training Live Session,Investment,795,30,8,93,6,Tablet,18,49,7,1,Individual,0
266,53,UK,Instructor-led Online,Finance,100,143,4,12,4,Mobile,0,35,34,1,Individual,1
267,31,USA,Classroom Training Physical,Investment,513,102,10,98,2,Desktop,59,12,44,1,Corporate,1
268,36,Australia,Instructor-led Online,Risk,457,16,1,39,0,Tablet,33,41,15,1,Corporate,0
269,43,India,Classroom Training Live Session,Finance,283,111,14,33,6,Tablet,7,22,77,1,Corporate,1
270,46,UK,Classroom Training Live Session,Risk,420,145,8,29,4,Mobile,20,18,52,0,Individual,1
271,48,USA,Classroom Training Physical,Finance,282,23,13,73,1,Desktop,51,19,31,1,Corporate,0
272,41,India,Classroom Training Live Session,Risk,1145,30,14,3,4,Tablet,22,7,81,1,Individual,0
273,51,India,Classroom Training Live Session,Risk,1198,105,11,48,6,Mobile,30,48,92,1,Corporate,1
274,41,USA,Classroom Training Live Session,Accounting,489,69,11,63,4,Tablet,56,0,18,0,Individual,0
275,32,India,Classroom Training Live Session,Risk,240,83,0,69,3,Tablet,36,16,57,0,Corporate,0
276,44,Australia,Instructor-led Online,Finance,731,138,14,22,4,Mobile,42,12,32,1,Corporate,1
277,21,UK,Instructor-led Online,Risk,892,94,8,20,3,Tablet,18,11,36,1,Individual,0
278,56,Australia,Classroom Training Live Session,Investment,1123,41,2,46,1,Desktop,34,43,70,0,Individual,0
279,30,India,Instructor-led Online,Investment,130,130,8,72,5,Tablet,53,21,96,1,Individual,1
280,51,Australia,Instructor-led Online,Finance,875,7,3,17,2,Desktop,43,43,20,1,Corporate,0
281,38,USA,Self-paced,Investment,334,13,8,48,5,Desktop,9,43,46,0,Corporate,0
